epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1121.27,0.60749,0.46222,0.99655,0.98388,0.85178,0.92766,0.80803,0.5503,0.43503,0.97589,0.000643101,0.000643101,0.000643101
43,1147.36,0.61056,0.46565,1.00494,0.95991,0.83753,0.91164,0.78809,0.58603,0.49037,0.98534,0.000628101,0.000628101,0.000628101
44,1172.99,0.59489,0.44799,0.97181,0.95066,0.86412,0.91643,0.79688,0.57217,0.44874,0.98966,0.000612981,0.000612981,0.000612981
45,1198.66,0.58504,0.45072,0.97066,0.90179,0.88049,0.92215,0.80812,0.54624,0.44533,0.96763,0.000597754,0.000597754,0.000597754
46,1224.39,0.58829,0.44654,0.97896,0.95021,0.88282,0.93235,0.80503,0.54192,0.41714,0.97472,0.000582435,0.000582435,0.000582435
47,1249.9,0.58477,0.44251,0.98151,0.98202,0.85281,0.93232,0.82906,0.49728,0.43487,0.94288,0.00056704,0.00056704,0.00056704
48,1275.98,0.60223,0.46728,0.98252,0.97,0.88138,0.93152,0.81867,0.52551,0.42272,0.95536,0.000551584,0.000551584,0.000551584
49,1301.59,0.56226,0.43793,0.96452,0.96908,0.87455,0.92975,0.82631,0.49307,0.38626,0.95308,0.000536081,0.000536081,0.000536081
50,1327.26,0.55319,0.4254,0.9641,0.97999,0.86501,0.93934,0.83439,0.48815,0.38411,0.93191,0.000520548,0.000520548,0.000520548
51,1353.26,0.55096,0.42023,0.95911,0.98162,0.85311,0.92877,0.82869,0.4985,0.37709,0.93897,0.000505,0.000505,0.000505
52,1379.36,0.54319,0.42267,0.96076,0.97694,0.84726,0.93106,0.82631,0.49879,0.41139,0.92303,0.000489452,0.000489452,0.000489452
53,1405.24,0.55252,0.43389,0.96186,0.96981,0.87383,0.93643,0.8382,0.50382,0.40483,0.93969,0.000473919,0.000473919,0.000473919
54,1431.42,0.56638,0.42372,0.96611,0.97644,0.86723,0.9384,0.84931,0.45053,0.37539,0.92829,0.000458416,0.000458416,0.000458416
55,1457.44,0.52634,0.40523,0.9496,0.95474,0.86524,0.91767,0.81581,0.49682,0.43643,0.94938,0.00044296,0.00044296,0.00044296
56,1482.92,0.52635,0.40286,0.95276,0.95969,0.89176,0.93483,0.83652,0.4711,0.39222,0.90973,0.000427565,0.000427565,0.000427565
57,1508.59,0.53105,0.40356,0.95303,0.97424,0.88369,0.93689,0.84821,0.47501,0.39179,0.91288,0.000412246,0.000412246,0.000412246
58,1534.54,0.50712,0.39147,0.93687,0.96895,0.87729,0.93005,0.82688,0.47375,0.39309,0.93383,0.000397019,0.000397019,0.000397019
59,1560.18,0.51273,0.39031,0.94647,0.97889,0.90243,0.9383,0.86008,0.43742,0.36312,0.90297,0.000381899,0.000381899,0.000381899
60,1586.6,0.5053,0.38202,0.94273,0.94584,0.89869,0.93652,0.85261,0.45352,0.37481,0.92145,0.000366899,0.000366899,0.000366899
61,1612.35,0.49251,0.37292,0.939,0.96786,0.8808,0.93943,0.84723,0.45929,0.3838,0.92739,0.000352037,0.000352037,0.000352037
62,1638.62,0.4818,0.36207,0.93428,0.97264,0.91644,0.94541,0.86831,0.42721,0.33534,0.90185,0.000337325,0.000337325,0.000337325
63,1664.82,0.47299,0.36382,0.92945,0.9854,0.89509,0.95284,0.85889,0.43876,0.34095,0.92258,0.000322778,0.000322778,0.000322778
64,1690.27,0.4756,0.34833,0.92806,0.96631,0.91651,0.94948,0.87086,0.43855,0.34127,0.90719,0.000308412,0.000308412,0.000308412
65,1716.27,0.48642,0.35338,0.94086,0.97313,0.90324,0.94539,0.857,0.45848,0.34699,0.95609,0.000294239,0.000294239,0.000294239
66,1741.89,0.47406,0.35521,0.92548,0.97426,0.8948,0.94339,0.84941,0.45989,0.34802,0.93121,0.000280275,0.000280275,0.000280275
67,1767.5,0.46453,0.35143,0.92747,0.97478,0.92084,0.95566,0.87156,0.41072,0.31403,0.90272,0.000266532,0.000266532,0.000266532
68,1793.62,0.45864,0.33991,0.91897,0.95641,0.88312,0.93335,0.84969,0.43402,0.37716,0.91732,0.000253024,0.000253024,0.000253024
69,1819.17,0.45516,0.34208,0.92081,0.97724,0.91897,0.94353,0.87024,0.4057,0.34082,0.89329,0.000239766,0.000239766,0.000239766
70,1844.65,0.44243,0.34056,0.90597,0.97391,0.90257,0.94977,0.87647,0.39605,0.31437,0.89675,0.000226769,0.000226769,0.000226769
71,1871.05,0.45439,0.3397,0.92595,0.98271,0.90628,0.95032,0.87454,0.3864,0.31719,0.8825,0.000214046,0.000214046,0.000214046
